StartTime,RunType,Target,ExecutionTimeSeconds,WarehouseSize,JobName,MinuteShift,Description,iso_format_start,iso_format_end
2025-04-20T23:50:53.519000,Incremental,prod,99.633,Medium,TextpicksSeenIncremental,20,Incremental addition in Snowflake of content viewed receipts,2025-04-20 23:50:53.519,2025-04-20 23:52:33.152
2025-04-20T23:35:48.261000,Incremental,prod,145.531,Medium,TextpicksSeenIncremental,20,Incremental addition in Snowflake of content viewed receipts,2025-04-20 23:35:48.261,2025-04-20 23:38:13.792
2025-04-20T23:29:00.282000,Incremental,prod,130.084,Medium,TextpicksSeenIncremental,20,Incremental addition in Snowflake of content viewed receipts,2025-04-20 23:29:00.282,2025-04-20 23:31:10.366
2025-04-20T23:20:54.601000,Incremental,prod,101.399,Medium,TextpicksSeenIncremental,20,Incremental addition in Snowflake of content viewed receipts,2025-04-20 23:20:54.601,2025-04-20 23:22:36
2025-04-20T23:05:46.790000,Incremental,prod,104.482,Medium,TextpicksSeenIncremental,20,Incremental addition in Snowflake of content viewed receipts,2025-04-20 23:05:46.79,2025-04-20 23:07:31.272
2025-04-20T22:50:48.181000,Incremental,prod,97.217,Medium,TextpicksSeenIncremental,20,Incremental addition in Snowflake of content viewed receipts,2025-04-20 22:50:48.181,2025-04-20 22:52:25.398
2025-04-20T22:36:17.838000,Incremental,prod,146.756,Medium,TextpicksSeenIncremental,20,Incremental addition in Snowflake of content viewed receipts,2025-04-20 22:36:17.838,2025-04-20 22:38:44.594
2025-04-20T22:29:35.776000,Incremental,prod,129.888,Medium,TextpicksSeenIncremental,20,Incremental addition in Snowflake of content viewed receipts,2025-04-20 22:29:35.776,2025-04-20 22:31:45.664
2025-04-20T22:21:19.676000,Incremental,prod,101.357,Medium,TextpicksSeenIncremental,20,Incremental addition in Snowflake of content viewed receipts,2025-04-20 22:21:19.676,2025-04-20 22:23:01.033
2025-04-20T22:05:52.182000,Incremental,prod,101.445,Medium,TextpicksSeenIncremental,20,Incremental addition in Snowflake of content viewed receipts,2025-04-20 22:05:52.182,2025-04-20 22:07:33.627
2025-04-20T21:50:51.585000,Incremental,prod,97.11,Medium,TextpicksSeenIncremental,20,Incremental addition in Snowflake of content viewed receipts,2025-04-20 21:50:51.585,2025-04-20 21:52:28.695
2025-04-20T21:35:50.238000,Incremental,prod,151.461,Medium,TextpicksSeenIncremental,20,Incremental addition in Snowflake of content viewed receipts,2025-04-20 21:35:50.238,2025-04-20 21:38:21.699
